field_1,Codigo,Nombre,Elevacion,Lat,Lon,Norte,Este
"143","29030310",NISPERO EL,"10",9.933888890000000,-75.417500000000004,2656677.904304,4735031.073628
"144","26010030",PURACE,"2652",2.380861110000000,-76.454777780000001,1821584.038858,4615819.438521
"145","27010820",CUCHILLA LA,"1600",6.368333330000000,-75.453611109999997,2262333.754809,4728675.216934
"146","21015030",PARQUE ARQUEOLOGIC,"1800",1.888472220000000,-76.294972220000005,1767047.265047,4633493.539654
"147","24060050",MESA LA,"1460",6.759166670000000,-73.092777780000006,2304877.248826,4989751.533295
"148","26050270",SILENCIOSO EL,"1156",3.115638890000000,-76.719416670000001,1903016.909973,4586604.419727
"149","26075040",AEROPUERTO A BONILLA,"970",3.536688890000000,-76.386638890000000,1949494.941671,4623796.390649
"150","23090020",VIRGINIAS,"975",6.393555560000000,-74.681805560000001,2264780.059672,4814061.581495
"151","21010220",MORELIA,"1625",2.065888890000000,-76.185000000000002,1786657.138636,4645776.555739
"152","21065040",ZULUAGA,"1270",2.252500000000000,-75.529444440000006,1807164.223820,4718773.037233
"153","21120040",POTRERITO,"850",3.141083330000000,-75.379472219999997,1905399.087593,4735649.191733
"154","21140080",MIRAFLORES,"149",3.480527780000000,-74.743777780000002,1942782.160309,4806364.338781
"155","22060110",GUAINI,"746",3.717722220000000,-75.423555559999997,1969180.074781,4730910.245329
"156","21010230",BETANIA TV,"1949",1.905805560000000,-76.304249999999996,1768967.540817,4632464.070924
"157","21050140",HATILLO EL,"900",2.510777780000000,-75.615666669999996,1835747.550302,4709234.389444
"158","21090020",CUCHARO EL,"620",2.855555560000000,-75.399194440000002,1873828.751681,4733387.646930
"159","21120090",TOTUMO EL,"700",2.870333330000000,-75.490972220000003,1875484.783026,4723185.998451
"160","21090040",PAPAGAYO HACIENDA,"460",2.777583330000000,-75.347527779999993,1865194.605649,4739115.031189
"161","27015110",ARAGON,"2652",6.781083330000000,-75.560888890000001,2308045.133866,4717038.442167
"162","24025030",SIERRA LA,"2700",5.966388890000000,-73.163891390000003,2217277.450280,4981868.358824
"163","26210110",PENALISA,"2100",5.934916670000000,-75.861166670000003,2214615.242722,4683315.977162
"164","26020220",MORALES,"1692",2.769416670000000,-76.624194439999997,1864649.521244,4597077.619543
"165","26020180",SATE,"1742",2.496250000000000,-76.638361110000005,1834411.567498,4595412.171712
"166","21050310",ESCUELA RIOSUCIO  2,"2750",2.446833330000000,-76.168916670000002,1828807.861015,4647659.007004
"167","24030320",CARCASI,"224",6.627500000000000,-72.629999999999995,2290342.223117,5040882.341631
"168","25021500",PUEBLITO EL,"35",9.581166670000000,-74.352249999999998,2617022.498893,4851659.910364
"169","26030090",REMOLINO ALERTAS,"1628",2.515000000000000,-76.829722219999994,1836548.443090,4574107.749376
"170","27015260",SALADA LA,"1923",6.048361110000000,-75.624666669999996,2227033.810218,4709571.542590
"171","21130010",PURIFICACION,"305",3.847333330000000,-74.936499999999995,1983375.515183,4785043.615014
"172","24035330",BOAVITA,"2150",6.328972220000000,-72.582277779999998,2257358.243788,5046182.525953
"173","23190350",LLANO DE PALMAS,"778",7.240138890000000,-73.195361109999993,2358029.441143,4978441.973456
"174","23190450",VETAS-EL POZO,"3220",7.308888890000000,-72.878333330000004,2365623.745395,5013423.813963
"175","25020270",SALOA,"90",9.193166670000000,-73.731305559999996,2573933.027656,4919692.449843
"176","29050020",SALAMINA,"15",10.487527780000001,-74.790000000000006,2717458.632488,4804171.954629
"177","29060180",ESPERANZA LA,"25",10.742527780000000,-74.306277780000002,2745388.603711,4857220.348601
"178","29060540",SAN RAFAEL,"10",10.590611109999999,-74.647000000000006,2728770.669622,4819880.487407
"179","25021040",MENCHIQUEJO,"25",9.188055560000000,-74.044222219999995,2573453.165746,4885325.101217
"180","26190090",BETANIA-LAS GUACAS,"1600",5.755000000000000,-75.975527779999993,2194775.254425,4670541.703841
"181","26210130",GUASABRA,"1800",6.503333330000000,-75.955833330000004,2277561.977764,4673180.717663
"182","21215080",CHICORAL,"432",4.231527780000001,-74.995361110000005,2025866.395137,4778611.531246
"183","25021240",CHIMICHAGUA,"138",9.260083330000001,-73.809861110000000,2581347.522038,4911082.195623
"184","26230160",BRICENO,"1440",7.105277780000000,-75.511666669999997,2343874.481758,4722670.764521
"185","21010060",MEDIANIA,"1763",2.020833330000000,-76.172138889999999,1781668.537139,4647198.538471
"186","28040320",BRILLANTE EL,"135",9.702750000000000,-73.959138890000006,2630316.490566,4894825.994371
"187","24010410",EMPORIO EL HACIENDA,"2120",5.602083330000000,-73.545277780000006,2177048.091473,4939635.370413
"188","25021610",AGRADO EL,"100",9.685666670000000,-74.504861109999993,2628644.805668,4834965.980901
